videoApperanceCount,videosDiggCountAvg,videosShareCountAvg,videosPlayCountAvg,videosCollectCountAvg,videosCommentCountAvg,videoDurationAvg,videosCaptionsCombinedText,combinedTextLanguage,authorMeta/digg,authorMeta/fans,authorMeta/following,authorMeta/friends,authorMeta/heart,authorMeta/id,authorMeta/name,authorMeta/nickName,authorMeta/signature,authorMeta/verified,authorMeta/video,authorMeta/profileUrl
1,2937.0,45.0,147400.0,87.0,67.0,100.0,#เบื่อแล้วเป็นผู้ดูแลคนไข้ อยากเป็นคนที่ใช่สักที #พยาบาลดมยา #ห้องผ่าตัด #unboxing,th,33800,1747,210,0,15500,7015738729403237378,namon5224,Té nurse,,False,40,https://www.tiktok.com/@namon5224
1,67.0,13.0,38000.0,13.0,6.0,45.0,CPAP คือ เครื่องช่วยหายใจแรงดันบวกต่อเนื่อง เป็นอุปกรณ์ที่ใช้สำหรับรักษาผู้ป่วยที่มีภาวะหยุดหายใจขณะหลับ (Obstructive Sleep Apnea: OSA) หลักการทำงานของ CPAP คือ เครื่องจะปล่อยแรงดันลมคงที่ผ่านทางหน้ากากที่ครอบจมูกหรือปาก เพื่อเปิดช่องทางเดินหายใจไม่ให้ตีบหรือปิดขณะหลับ ลดการหยุดหายใจ และลดอาการกรน #CPAP #นอนหลับเต็มอิ่ม #N30i #AirFit #หยุดหายใจตอนนอน #OSA #YH680 #หยุดหายใจขณะหลับ #นอนกรน #รีบเลยก่อนหมด #สุขภาพดีเริ่มที่เรา #Elife #mask #แนะนํา #เมษา,th,340,10400,1,0,36200,6805017332390315010,elifegear,elifegear,ฝ่ายขาย : 098-955-9149 / 095-348-0712,False,311,https://www.tiktok.com/@elifegear
4,1008.75,296.25,31154.0,433.75,89.25,59.0,อุปกรณ์แพทย์ที่ควรมีติดบ้าน #sunshinemedical #อุปกรณ์การแพทย์ #ดูแลสุขภาพ #คุ้มมาก #สําลี อุปกรณ์สำหรับโรงพยาบาลและคลีนิค ที่ถูกสุดๆ ลดต้นทุนสำหรับคุณหมอทุกๆท่าน #sunshinemedical #อุปกรณ์การแพทย์ #เครื่องมือแพทย์ #สินค้าสุขภาพ #สุขภาพดี #ถุงมือยาง #สําลี #สําลีก้อน #แมสก์ #หน้ากาก สินค้าจำเป็นสำหรับผู้สูงอายุ ที่ช่วยให้สุขภาพดีขึ้นได้ #sunshinemedical #อุปกรณ์การแพทย์ #อาหารเสริมเพื่อสุขภาพ #ผู้สูงอายุ #ดูแลสุขภาพ สินค้ายอดนิยมที่โรงพยาบาลทั่วประเทศต้องมี #sunshinemedical #อุปกรณ์การแพทย์ #เครื่องมือแพทย์ #สินค้าสุขภาพ #สแตนเลส,th,1638,16200,6,0,71500,7382480010185557012,sunshine.med,Sunshine Medical,Sunshine Medical จำหน่ายอุปกรณ์เครื่องมือแพทย์คุณภาพ,False,1486,https://www.tiktok.com/@sunshine.med
1,91.0,74.0,13900.0,36.0,15.0,85.0,iNAP Sleep Therapy System มีปัญหาเรื่อง นอนกรน หรือภาวะหยุดหายใจขณะหลับ ปรึกษาเรา 𝗶𝗡𝗔𝗣 คือ อุปกรณ์การแพทย์ (Medical device) ออกแบบมาเพื่อลดการอุดกั้นทางเด���นหายใจ ซึ่งป็นสาเหตุของการนอนกรน ด้วยเทคโนโลยี Intra Oral Negative Air Pressure (iNAP) ช่วยสร้างแรงดูดอากาศอ่อนๆ ที่ทำให้ลิ้นและเนื้อเยื่ออยู่ในตำแหน่งที่ทำให้คุณหายใจได้สะดวกขึ้น ลดอัตราภาวะอาการหยุดหายใจขณะหลับ 𝗶𝗡𝗔𝗣 ใช้งานง่าย ไม่ต้องสวมหน้ากาก ขนาดเล็กพกพาสะดวก ทำงานด้วยแบตเตอรี่ ไร้เสียงรบกวน ลดอัตราอาการหยุดหายใจขณะหลับ 𝗶𝗡𝗔𝗣 One Sleep Therapy System รุ่น NP-R07-A ได้รับใบแจ้งรายการละเอียดจากสำนักงานคณะกรรมการอาหารและยา (อย.) ประเทศไทย เลขที่ 66-2-2-2-0005787 ใบอนุญาตเลขที่ ฆพ.274/2567 มีปัญหาเรื่องนอนกรน ปรึกษาเรา iNAP Thailand Website: โทร: 094-535-9797 #iNAP #iNAPThailand #เครื่องช่วยลดนอนกรน #นวัตกรรมใหม่ #WellsleepingWellbeing #OSA #โรคหยุดหายใจขณะหลับ คำเตือน: อ่านคำเตือนและเอกสารกำกับเครื่องมือแพทย์ก่อนใช้งาน แพทย์ควรพิจารณาจากประวัติทางการแพทย์และอาการของผู้ป่วยรวมถึงแต่ไม่จำกัดเพียงประวัติของโรคหอบหืด ไซนัสอักเสบ การอุดตันของจมูก การหายใจหรือความผิดปกติของระบบทางเดินหายใจ หรือปัญหาสุขภาพอื่น ๆ ที่เกี่ยวข้องและส่งผลต่อผู้ป่วยไปยังผู้ให้บริการด้านสุขภาพที่เหมาะสมก่อนกำหนดระบบนี้ ข้อห้ามใช้: การใช้งาน iNAP one sleep therapy system มีข้อห้ามในโรคผู้ป่วยโรคทางเดินหายใจรุนแรง เช่น ปอดรุนแรงโรคปอดบวมเป็นต้น ข้อควรระวัง: เพื่อความปลอดภัยของคุณ โปรดปฏิบัติตามข้อควรระวังตรวจสอบระบบเป็นประจำเมื่อใช้งานสำหรับการทำงานของปั๊มสถานะแบตเตอรี่ความสมบูรณ์ของ อินเตอร์เฟซ และประเภท / ปริมาณของสารหลั่ง,th,12,695,0,0,702,7326877793760052230,inapthailand,iNAPThailand,ความรู้ดีๆสำหรับคนนอนกรนใน 1 นาที,False,44,https://www.tiktok.com/@inapthailand
1,615.0,247.0,50600.0,92.0,40.0,57.0,️ เครื่องฟอกอากาศชนิดห้อยคอ ใช้ได้ผลจริงหรือไม่? ️ หลายคนอาจสงสัยว่าเครื่องฟอกอากาศชนิดห้อยคอช่วยกรอง PM 2.5 ได้ดีแค่ไหน ฟอกได้จริงเหรอ วันนี้หมอลอมมีคำตอบครับ ทำไมเครื่องฟอกอากาศชนิดห้อยคอไม่ตอบโจทย์ ปัญหาฝุ่น PM2.5 ? ประสิทธิภาพจำกัด: เครื่องฟอกชนิดนี้กรองอากาศได้แค่บริเวณใกล้ๆต้นคอเท่านั้น ไม่สามารถป้องกัน PM 2.5 รอบตัวที่เราสูดเข้าปอดได้จริงครับ ไม่มีคำแนะนำจากสมาคมสุขภาพใดๆ ให้ใช้เครื่องฟอกอากาศชนิดนี้เพื่อป้องกัน PM2.5 ราคาแพง: เครื่องชนิดนี้มักมีราคาสูงแต่ประสิทธิภาพไม่คุ้มค่ากับราคาเลย ทางเลือกที่ดีกว่าเพื่อสุขภาพปอดของคุณ: ️ ลงทุนในเครื่องฟอกอากาศในบ้าน: ที่สามารถกรองอากาศได้ครอบคลุมและปกป้องทุกๆคนในครอบครัวได้ ️ ใส่หน้ากากอนามัยเมื่อต้องออกนอกบ้าน: เลือกหน้ากากที่กรอง PM2.5 ได้ เช่น หน้ากาก N95 ️ ลดการทำกิจกรรมนอกบ้านในวันที่ค่าฝุ่นสูง: หากต้องออกไปนอกบ้าน ควรรีบทำธุระและกลับเข้าบ้านโดยเร็วครับ ปกป้องตัวเองและคนที่คุณรักจาก PM 2.5 ได้ง่าย ๆ โดยไม่ต้องเสียเงินไปกับอุปกรณ์ที่ไม่ได้ผลจริง ช่วงนี้อากาศเริ่มเย็น ดูแลสุขภาพกันด้วยนะครับ #EasyAllergy #PM25 #สุขภาพดี #หน้ากากอนามัย #เครื่องฟอกอากาศแบบห้อยคอ #เครื่องฟอกอากาศ #ฝุ่นPM25 #PM25 #มลภาวะ #ภูมิแพ้ #อาการภูมิแพ้ #ภูมิแพ้จมูก,th,170,4143,29,0,29600,7251633294473823237,easyallergy,ภูมิแพ้ง่ายๆสไตล์หมอฝ้ายหมอลอม,ความรู้โรคเด็กและโรคภูมิแพ้ โดยคุณหมอ,False,135,https://www.tiktok.com/@easyallergy
1,11700.0,7092.0,264900.0,2814.0,630.0,147.0,"""มนุษย์ต่างวัยรีวิว"" บริการยืมอุปกรณ์การแพทย์ฟรี ไม่ว่าใครก็ยืมได้ ไม่มีข้อจำกัด #มนุษย์ต่างวัย #Manoottangwai #ยืมอุปกรณ์การแพทย์ฟรี #ติดเตียง #ดูแลพ่อแม่ #อุปกรณ์การแพทย์ #สังคมสูงวัย #สังคมดี #เพื่อสังคม #tiktokcommunityth #tiktokuni",th,2,754800,0,0,15600000,6926152542348084226,manoottangwai,มนุษย์ต่างวัย,ติดต่อโฆษณา marketing@boonmeritmedia.co.th 085-117-4290 (ลิลลี่),False,1342,https://www.tiktok.com/@manoottangwai
1,2247.0,50.0,38200.0,264.0,30.0,48.0,มีสักคู่เถอะชีวิตดีมาก️ จับเวทหนึบ ไม่ต้องออกแรงกำมาก #ออกกำลังกาย #ออกกําลังกายที่บ้าน #ดูแลตัวเอง #ปั้นหุ่นแซ่บ #รักสุขภาพ,th,8317,342100,184,0,4200000,6636166696665169922,carrot.papada,Carrot Papada,ชอบปั้นหุ่น ตามไว้ได้เลย ติดต่องานline: @workwithme (with @),False,731,https://www.tiktok.com/@carrot.papada
1,2665.0,109.0,66300.0,414.0,12.0,51.0,เลือกอุปกรณ์คาดิโอยังไงดี @homefittools_official #ลดน้ำหนัก #ลดความอ้วน #ออกกำลังกาย #ออกกําลังกายที่บ้าน #ดูแลตัวเอง #โฮมฟิตทูลส์ #homefittools #chanunptt #fyp,th,3907,137800,395,0,3300000,6809085208279024642,chanunptt,chanunptt,ผมเคยหนัก 110 หุ่นดีไม่ใช่เรื่องยาก แค่เรามีความสุขกับเส้นทาง DM for work️️,False,478,https://www.tiktok.com/@chanunptt
1,4201.0,805.0,132700.0,2928.0,57.0,35.0,เชือกไม่มีท่าตายตัว ปรับประยุกต์ได้น้า @KruReboyong @KruReboyong @KruReboyong #CapCut #ออกกําลังกายที่บ้าน #อุปกรณ์ออกกําลังกาย #เครื่องออกกําลังกาย #ดูแลตัวเอง #stepper,th,10900,61300,421,0,1100000,6939851864251417602,krureboyong,โบว์ ครูชำนาญการวิ่ง,“มาแก่ลงอย่างสวยงามกัน” ไลฟ์ 2 ทุ่ม(เสาร์-อาทิตย์ 10 โมง และ 2 ทุ่มค่า),False,751,https://www.tiktok.com/@krureboyong
1,3289.0,1137.0,58900.0,1536.0,36.0,180.0,เล่น Kettlebell อย่างถูกต้อง ไม่ให้ปวดหลัง กับ @@เล่นเวทกับพี่ออฟ ##kattlebell##ออกกําลังกาย##ฟิตหุ่น##ฟิตเนส##ดูแลสุขภาพ,th,63500,144600,3540,0,854000,7000945771635082266,noodi_vanessa,สมองดีกับหนูดี,หนูดี วนิษา เรซ HARVARD Grad สมอง&การเรียนรู้ LIVE ทุก 8.00 อังคาร/ศุกร์,False,732,https://www.tiktok.com/@noodi_vanessa
